sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
0.9,1.51,0.48,40.0,0.3172289156626506,35.0,18.83,1.83,50.67,38.67,35.0
0.65,1.25,0.47,26.67,0.27506024096385545,30.0,17.5,1.67,51.0,40.17,50.0
0.23,1.09,0.25,21.66,0.15060240963855426,28.33,16.17,1.5,50.33,28.5,40.0
0.35,1.01,2.51,11.66,0.09638554216867469,25.0,12.5,1.33,49.83,21.17,26.67
0.08,0.96,1.73,10.0,0.09036144578313253,25.0,12.5,2.0,58.5,15.67,20.0
0.2,1.02,1.96,16.67,0.09638554216867469,26.67,11.17,3.17,56.0,23.17,18.33
0.18,1.13,2.78,21.67,0.13457831325301206,30.0,11.5,1.67,54.83,32.67,21.67
0.65,1.52,2.32,56.67,0.39361445783132537,51.67,20.33,7.67,81.67,58.33,41.67
0.6,1.77,1.95,75.0,0.7771084337349398,81.66,29.17,7.33,96.5,76.83,55.0
0.55,1.9,2.15,78.33,0.8895180722891566,81.66,28.5,4.83,73.0,69.5,58.33
0.0,2.0,1.13,68.33,0.8072289156626506,75.0,23.33,4.83,67.33,66.5,65.0
0.0,2.1,2.57,63.34,0.8273493975903614,78.33,21.17,4.67,58.83,60.67,73.33
0.6,2.17,1.85,60.0,0.6666265060240963,71.67,19.67,4.33,71.83,62.83,58.33
1.8,2.21,1.74,63.33,0.45180722891566266,65.0,21.83,3.17,62.5,58.67,50.0
1.2,2.3,1.4,53.33,0.4759036144578314,50.0,21.83,3.17,47.67,60.67,55.0
1.01,2.23,0.65,55.0,0.5039759036144578,50.0,24.33,3.33,57.83,59.17,53.33
1.74,2.15,0.65,50.0,0.5080722891566265,53.33,20.0,3.5,46.17,63.67,60.0
1.15,2.07,0.55,48.34,0.37554216867469886,41.66,16.17,3.83,45.83,49.5,46.67
0.47,2.16,0.83,45.0,0.3795180722891566,43.33,22.83,2.5,50.66,49.0,40.0
1.62,2.24,1.1,48.34,0.3795180722891566,46.67,22.17,2.5,51.67,51.0,45.0
0.0,2.36,2.05,55.0,0.41566265060240964,50.0,18.67,4.17,48.67,57.17,45.0
0.0,2.43,2.09,61.67,0.4357831325301205,51.66,20.0,4.17,71.33,68.5,51.67
0.0,2.29,1.15,58.34,0.427710843373494,51.66,18.17,2.67,65.0,67.17,60.0
0.8,1.77,0.93,45.0,0.3634939759036145,38.34,13.83,1.67,47.34,46.5,43.33
0.73,1.26,0.67,35.0,0.28915662650602414,30.0,23.0,2.33,36.84,35.33,30.0
0.25,1.04,0.6,18.34,0.18277108433734945,25.0,8.0,1.5,32.5,21.5,36.67
0.15,0.91,1.42,10.0,0.09036144578313253,25.0,6.17,1.17,28.17,15.33,21.67
0.15,0.84,1.23,8.33,0.08433734939759037,21.66,7.33,1.5,40.0,14.17,18.33
0.12,0.8,1.02,11.66,0.10843373493975904,23.33,6.67,2.0,37.17,14.83,18.33
0.13,0.86,1.47,15.0,0.1104819277108434,25.0,9.33,4.67,33.83,22.67,20.0
0.11,0.94,2.15,21.67,0.16469879518072295,35.0,9.5,1.83,44.0,25.67,21.67
0.38,1.27,2.8,56.67,0.39951807228915664,53.34,19.17,6.67,57.0,47.83,40.0
0.67,1.48,2.0,68.34,0.8554216867469879,75.0,26.67,7.5,79.84,72.83,58.33
1.75,1.59,2.05,71.66,0.9237349397590361,81.66,26.83,5.17,72.0,71.33,60.0
1.87,1.67,1.68,66.66,0.8213253012048193,70.0,23.0,5.5,65.5,67.33,60.0
0.0,1.76,1.27,58.33,0.6766265060240964,66.66,21.33,4.83,63.66,69.33,63.33
0.0,1.81,1.27,51.66,0.48192771084337355,65.0,20.33,4.5,49.83,57.0,58.33
0.58,1.85,1.39,55.0,0.4397590361445784,58.33,18.5,5.0,67.17,55.83,53.33
0.43,1.92,1.05,56.66,0.37156626506024104,55.0,18.33,5.67,51.67,64.0,53.33
1.53,1.87,0.93,55.0,0.34337349397590367,53.33,19.67,3.83,61.83,57.5,55.0
1.08,1.8,0.65,53.33,0.3413253012048193,50.0,17.67,4.17,55.0,54.83,61.67
